time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-09T19:24:49.530Z,34.5658333,-117.2571667,-1.13,1.14,ml,20,114,0.06,0.13,ci,ci37580519,2017-02-09T21:11:31.528Z,"4km NE of Victorville, CA",quarry blast,0.27,31.61,0.131,17,reviewed,ci,ci
2017-02-09T19:10:10.580Z,-57.0824,-150.7431,10,5.2,mb,,41,27.881,1.03,us,us20008is3,2017-02-10T01:10:14.040Z,"Pacific-Antarctic Ridge",earthquake,9.4,1.8,0.08,52,reviewed,us,us
2017-02-09T19:06:39.080Z,45.31,-112.7026667,3.82,0.53,ml,4,185,0.092,0.09,mb,mb80198884,2017-02-09T22:02:41.210Z,"11km NNW of Dillon, Montana",earthquake,0.83,3.39,0.445,2,reviewed,mb,mb
2017-02-09T19:06:09.320Z,35.8075,-117.5363333,-0.73,1.19,ml,16,142,0.0504,0.16,ci,ci37580487,2017-02-09T20:57:13.017Z,"13km WNW of Searles Valley, CA",quarry blast,0.47,31.61,0.15,16,reviewed,ci,ci
2017-02-09T19:04:38.029Z,59.6652,-153.042,95.1,1.8,ml,,,,0.61,ak,ak15252684,2017-02-09T19:15:53.003Z,"69km W of Anchor Point, Alaska",earthquake,,1,,,automatic,ak,ak
2017-02-09T18:55:07.750Z,37.4025,-113.8471667,5.77,1.52,ml,6,128,0.4128,0.11,uu,uu60184277,2017-02-09T19:33:53.100Z,"22km SSW of Enterprise, Utah",earthquake,0.57,1.7,0.024,2,reviewed,uu,uu
2017-02-09T18:46:25.660Z,44.6213333,-111.1341667,12.42,1.93,ml,10,171,0.1159,0.18,uu,uu60184267,2017-02-09T19:03:35.430Z,"5km SSW of West Yellowstone, Montana",earthquake,1.01,1.5,0.197,2,reviewed,uu,uu
2017-02-09T18:42:36.640Z,36.1593333,-117.9375,3.98,0.77,ml,10,266,0.156,0.16,ci,ci37580479,2017-02-09T19:07:32.200Z,"13km N of Coso Junction, CA",earthquake,0.76,1.1,0.314,4,reviewed,ci,ci
2017-02-09T18:40:52.660Z,36.155,-117.9523333,4.57,0.9,ml,11,267,0.1553,0.14,ci,ci37580463,2017-02-09T19:03:31.444Z,"12km N of Coso Junction, CA",earthquake,1.44,4.53,0.181,5,reviewed,ci,ci
2017-02-09T18:40:34.944Z,64.6955,-148.872,14.5,0.2,ml,,,,0.33,ak,ak15252682,2017-02-09T20:12:20.386Z,"17km NE of North Nenana, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-02-09T18:35:22.430Z,45.9055,-112.2546667,-2,0.73,md,5,133,0.161,0.03,mb,mb80198864,2017-02-09T21:13:46.640Z,"12km WNW of Whitehall, Montana",quarry blast,1.89,31.61,0.206,2,reviewed,mb,mb
2017-02-09T18:33:23.246Z,38.337,-118.8039,11.7,1.4,ml,6,184.78,0.25,0.1761,nn,nn00577640,2017-02-10T00:40:27.330Z,"26km SW of Hawthorne, Nevada",earthquake,,26.5,0.43,3,reviewed,nn,nn
2017-02-09T18:22:26.400Z,17.8463,-67.11,7,2.3,Md,4,324,0.13744224,0.18,pr,pr17040004,2017-02-09T20:07:24.143Z,"15km SSW of La Parguera, Puerto Rico",earthquake,1.5,0.6,0,3,reviewed,pr,pr
